user,date,text,latitude,longitude;;
RhiRhiPalmer,Sat Aug 10 17:59:00 +0000 2019,b'#westend @ Brasserie Z?del https://t.co/4M8WzSWSCv',51.51058029,-0.13581443;;
Elias_Jahshan,Sat Aug 10 17:57:48 +0000 2019,b'?I will never forget Palestine.? \n.\nThanks amro.tabari for the t-shirt! And for @AEvansMusic for the superior camer? https://t.co/Ek9I4DAe8O',51.50711486,-0.12731805;;
lou0305,Sat Aug 10 17:55:38 +0000 2019,b'?#princecharlescinema #westend @ Chinatown London https://t.co/Nl06N6L4fj',51.51157,-0.13165;;
Helen1lucas,Sat Aug 10 16:10:34 +0000 2019,b'Trio ? AP\n\nPick one ....\n\n#audemarspiguet \n#watch #luxury #life #luxurylifestyle\n#watchporn #wristporn #love? https://t.co/X3ZHCZlDUK',51.50711486,-0.12731805;;
darling_mads,Sat Aug 10 16:10:02 +0000 2019,b'Art ?\n.\n.\n.\n.\n.\n.\n.\n.\n.\n.\n.\n.\n.\n.\n.\n.\n.\n.\n.\n.\n.\n.\n.\n#london #thisislondon #londonlife #londonlover #ldn? https://t.co/LjV5UOgjiJ',51.50905122,-0.12809618;;
"StevenJBattelle,Sat Aug 10 16:05:26 +0000 2019,""b'Already got my next record planned out, The observations and chronicles of Steven and Bear ? @ London, United Kingd? https://t.co/xecYgaUOa3'"",51.50711486,-0.12731805";;
PabloAngelLugo,Sat Aug 10 16:05:01 +0000 2019,b'The last 3 #sculptures of the series ?nopales? (cactus) all of them are made by wood and plaster. Measures are vari? https://t.co/fID11Zm47m',51.50711486,-0.12731805;;
"Edberonc,Sat Aug 10 16:04:11 +0000 2019,""b'#lunch #fulhambroadway #london @ London, United Kingdom https://t.co/SXWEYIIL0q'"",51.50711486,-0.12731805";;
"starlingsworld,Sat Aug 10 15:58:22 +0000 2019,""b'I love you ?? @ London, United Kingdom https://t.co/DTgPmPFsUE'"",51.50711486,-0.12731805";;
"fab_lane21,Sat Aug 10 15:56:38 +0000 2019,""b'We brand new @fab_lane21 ??\n#makkylawson @ London, United Kingdom https://t.co/Y6RFChUxz7'"",51.50711486,-0.12731805";;
"LyvZiese,Sat Aug 10 15:56:26 +0000 2019,""b'Oi. \n? @allnapin @ London, United Kingdom https://t.co/MCIdvWzQg1'"",51.50711486,-0.12731805";;
"tmj_lon_adv,Sat Aug 10 15:55:00 +0000 2019,""b'Join the LEGO Group team! See our latest Marketing job openings, including """"Regional Marketing Director, Kids Engag? https://t.co/irHuav1ppJ'"",51.5073509,-0.1277583";;
"EbinhoB_,Sat Aug 10 15:54:53 +0000 2019,""b'A vida ? sobre quem voce se torna nessa caminhada em London, United Kingdom https://t.co/FexroX9hOY'"",51.50711486,-0.12731805";;
PeakAlex,Sat Aug 10 15:53:06 +0000 2019,b'In your journey you never know who will last next to you and who will come next to you just enjoy it and learn the? https://t.co/SlKdDt7Uwz',51.50711486,-0.12731805;;
wholegrainbake,Sat Aug 10 15:52:56 +0000 2019,b'Still a bit stormy tomorrow but we will be back on the @VictoriaParkMk and also in Primrose Hill @SFPrimroseHill? https://t.co/EIh4hD5xa0',51.50711486,-0.12731805;;
sam_stafford90,Sat Aug 10 15:49:48 +0000 2019,b'London\n.\n? Canon EOS 3 + 50mm\nFilm : Fuji CN400\n.\n#canon #eos #teamcanon #london #uk #fuji #fujifilm_uk #film #bnw? https://t.co/VHFX7MBXfP',51.50711486,-0.12731805;;
VADMBotanicsLtd,Sat Aug 10 15:48:45 +0000 2019,b'VADM Botanics Luxury Black Soap blended especially for you. Guaranteed to leave your skin feeling rejuvenated and s? https://t.co/bmpnZpISmZ',51.50711486,-0.12731805;;
InayatkanjiMo,Sat Aug 10 15:48:16 +0000 2019,b'So I know I been quiet for a minute....its not cos I gone all social media monk on mans and have started meditating? https://t.co/sV8FWSoGbV',51.50711486,-0.12731805;;
VADMBotanicsLtd,Sat Aug 10 15:47:40 +0000 2019,b'VADM Botanics Luxury Black Soap and Body Butter blended especially for sensitive skin. Guaranteed to leave your ski? https://t.co/MUCSZjyi1g',51.50711486,-0.12731805;;
VADMBotanicsLtd,Sat Aug 10 15:47:23 +0000 2019,b'VADM Botanics Luxury Black Soap and Body Butter blended especially for sensitive skin. Guaranteed to leave your ski? https://t.co/xEGqgy01yy',51.50711486,-0.12731805;;
VADMBotanicsLtd,Sat Aug 10 15:47:23 +0000 2019,b'VADM Botanics Luxury Black Soap and Body Butter blended especially for sensitive skin. Guaranteed to leave your ski? https://t.co/xEGqgy01yy',51.50711486,-0.12731805;;
VADMBotanicsLtd,Sat Aug 10 15:44:59 +0000 2019,b'VADM Botanics Luxury Black Soap and Body Butter Set blended especially for you. Guaranteed to leave your skin feeli? https://t.co/EIoRUuRrfy',51.50711486,-0.12731805;;
VADMBotanicsLtd,Sat Aug 10 15:44:45 +0000 2019,b'VADM Botanics Luxury Face and Body Butter blended especially for you. Guaranteed to leave your skin feeling rejuven? https://t.co/A5256EIc4j',51.50711486,-0.12731805;;
"tmj_LON_cstsrv,Sat Aug 10 15:41:49 +0000 2019,""b'AT&amp";"T is hiring in #London, England! Click the link in our bio to apply: Product Support Specialist #CustomerService'"",51.5073509,-0.1277583";
ellynrebeccaxo,Sat Aug 10 15:38:43 +0000 2019,b'Today is World Lion Day so of course I am celebrating it with my good friend Simba! We need to protect our wildlife? https://t.co/EjpMdSVTyo',51.50711486,-0.12731805;;
NaumovaDaria,Sat Aug 10 15:37:52 +0000 2019,b'I?m so excited it has been a while I haven?t seen @BolshoiOfficial in London @royaloperahouse couple of house to go? https://t.co/TZTQRkfO22',51.50711486,-0.12731805;;
vipboss82,Sat Aug 10 15:37:32 +0000 2019,b'2019 Model - Apple ? iPod ? Touch 7th Generation - Silver - 128GB Memory ?250 (?300 in the Shops ?) Free Delivery ?? https://t.co/jmT9N34HLk',51.50711486,-0.12731805;;
RobNoddy,Sat Aug 10 15:37:00 +0000 2019,b'Gradually building the details...\nBack to graphite drawing.\nNeed the practice before the commission.\n.\n.\n.\n@rihanna? https://t.co/gKRjDC5t71',51.50711486,-0.12731805;;
"tmj_LON_prod,Sat Aug 10 15:35:27 +0000 2019,""b'Don\'t be shy. Score a job like """"Category Insights Analyst Europe Bakery"""" at Mondel?z International by asking for re? https://t.co/5hJ3dFgmdH'"",51.5073509,-0.1277583";;
"kelsangel,Sat Aug 10 15:35:18 +0000 2019,""b""""Visiting the relative!!! ? ? ? #shrek #merlinannualpass #creatingmemories #southbank @ Shrek's Adventure https://t.co/8zYSR3ZtDv"""""",51.50188168,-0.11937338";;
nialecki,Sat Aug 10 15:34:49 +0000 2019,b'Throwing it back to last month: London.\n\n#uk #london #underground #tube #classic #inkusphotography? https://t.co/pi0LZzlDF1',51.50711486,-0.12731805;;
"nurikichi7,Sat Aug 10 15:34:35 +0000 2019,""b'??????????? (@ ????? - @visitparliament in London, Greater London, Greater London) https://t.co/KisCNaSvUh https://t.co/HysvJ9RwSD'"",51.50062,-0.124578";;
