user,date,text,latitude,longitude;;
JLH062314,Sat Aug 10 23:55:48 +0000 2019,b'End of the night #selfie! Dont do many of these coz I hate them but decided to take one and post anyway as didnt ta? https://t.co/ylnOipAumc',51.50711486,-0.12731805;;
TKbrancoo,Sat Aug 10 23:55:29 +0000 2019,b'E.P Will Be Availible on the 20/08/19 Make Sure You check It Out and Let Me Know Your Thoughts #M3MB3RSONLY @ Londo? https://t.co/1ESKaMdf2x',51.50711486,-0.12731805;;
Amr1ta,Sat Aug 10 23:50:54 +0000 2019,b'My jumpsuit is better than yours ?\n\n#rockon #ohyes #outoutout #posing #smilingasalways #saturdayfun? https://t.co/KJtYaNdgyZ',51.50711486,-0.12731805;;
JudeSamuel_,Sat Aug 10 23:46:27 +0000 2019,b'Amazing Grading day. 16 black belts on the mat. 29 belts and an amazing amount of support and technical knowledge o? https://t.co/0se6o2tRM8',51.50711486,-0.12731805;;
KlevaKeys,Sat Aug 10 23:35:02 +0000 2019,b'REVIEW: Amateur At Play::: Out Now. #soulfulhouse #deephouse #afrohouse #classichouse #techhouse #djlife? https://t.co/HnorPuPCkf',51.50711486,-0.12731805;;
KingVvadi,Sat Aug 10 23:34:43 +0000 2019,b'BIG NEWS! SHARE &amp; TAG A FRIEND \n_________________________________\nHealing the Family Tree workshop\nComing to London? https://t.co/ZWK8doQzRX',51.50711486,-0.12731805;
AyshenOfficial,Sat Aug 10 21:15:17 +0000 2019,b'I can?t even explain how my heart feels right right. Celebrating the ev of our 1 year wedding anniversary? https://t.co/dePHxs2Dwx',51.50654165,-0.12435153;;
Angelo_V_,Sat Aug 10 21:10:39 +0000 2019,b'Do you know what the Morse Code signal for an SOS is? What if you?re in a survival situation and all you have to co? https://t.co/9O4sJOCR22',51.50711486,-0.12731805;;
wahab_alshamri,Sat Aug 10 21:09:25 +0000 2019,b'???????????? ????? ?? ????? ??? ???? ??? ????? ??????????????? https://t.co/81xSTsa5Aj',51.50995077,-0.13574654;;
wahab_alshamri,Sat Aug 10 21:09:25 +0000 2019,b'???????????? ????? ?? ????? ??? ???? ??? ????? ??????????????? https://t.co/81xSTsa5Aj',51.50995077,-0.13574654;;
lordloftus,Sat Aug 10 21:07:26 +0000 2019,b'#noanimalswereharmed #inthemakingofthisbook #VEGbook by @jamieoliver &amp; #nodaylightwasusedintakingthisshot in memory? https://t.co/TBXbv2iYOP',51.50711486,-0.12731805;
"AnandJatania,Sat Aug 10 21:07:02 +0000 2019,""b'Beautifully penned note I found in a book... As I watch Gandhi, I am reminded that the best to serve God is in the? https://t.co/WRZB50hkZ6'"",51.50711486,-0.12731805";;
"smirny9000,Sat Aug 10 21:06:40 +0000 2019,""b'Doing a spot of detective-ing!! #detective #crime #boardgames #moderncrime @ London, United Kingdom https://t.co/9E8x9xvIea'"",51.50711486,-0.12731805";;
"papamanchego,Sat Aug 10 21:06:06 +0000 2019,""b'Minus. @ London, United Kingdom https://t.co/pTECboCREa'"",51.50711486,-0.12731805";;
"AlkhalidKhaled,Sat Aug 10 21:05:38 +0000 2019,""b""""Just posted a photo @ L'ETO 155 Wardour St, Soho, London. https://t.co/dJtyecdAkm"""""",51.5143553,-0.1348702";;
"AlkhalidKhaled,Sat Aug 10 21:04:37 +0000 2019,""b'???? ???? ?????? ??? ??? ????? ???? @ London, United Kingdom https://t.co/OTACfdnYjv'"",51.50711486,-0.12731805";;
